keys,en
FOOD_1,Meal for flesh beings. Prepared by the best chef in Heftwind Hills.
FOOD_2,Meal for flesh beings. Cooked perfectly over magma. Somehow.
FOOD_3,Meal for flesh beings. Seared by Olhms in the Verdant Caverns.
FOOD_4,"Meal for flesh beings. Labeled ""Sonia's DO NOT STEAL."" Oops"
FOOD_5,"Meal for flesh beings. Cooled by mountain air, but still edible."
FOOD_6,Meal for flesh beings. A deceptively sublime vegan imitation meat.
FOOD_7,Meal for flesh beings. Slow-cooked over a toasty fire.
FOOD_8,"Meal for flesh beings. A little airborne, but still good."
ENERGY_1,A shred of power. Was hidden away by Edgar's predecessor.
ENERGY_2,A shred of power. It seeped into the Sporeways long ago.
ENERGY_3,A shred of power. Kept safe by Daniel for some time.
ENERGY_4,A shred of power. Made sticky & sweet with honey.
ENERGY_5,A shred of power. Sold at an outrageous price. Bought on sale.
ENERGY_6,"A shred of power. Is this yours, or the plants of the deep's?"
CORE_1,A mysterious object. Feels ice-cold to the touch.
CORE_2,A mysterious object. Shines with nary a scratch or blemish.
CORE_3,A mysterious object. An unfamiliar fungus grows on its shell.
CORE_4,A mysterious object. A faint mountain breeze whistles through it.
CORE_5,A mysterious object. A brown leaf is stuck on the inside.
CORE_6,A mysterious object. It radiates the warmth of a sunny day.
ARTIFACT,"Your heart, brain, lungs, everything.\nNot to be lost ever."
JOURNAL_1,A catalog of species and people. Read it in the Pause menu!
JOURNAL_2,A diary from the past few years. Best read at Home.
JOURNAL_3,An old diary of the past few centuries. Best read at Home.
SWORD_BLADE,Blade of a broken sword. Increases attack damage. Badass
SWORD_HILT,Hilt of a broken sword. Increases attack range. Neato
MUSH,Parasite that shows everything on the map. Questionable.
MUSH_MEAL,Mushroom food. Thankfully you have no sense of smell.
MUSH_IN_MEAL,Happiest Sporecap. Shows everything on the map. Friend?
PYRITE,Utterly useless metal.\n\nYou have %d.
MAX_PYRITE,Why did you do this.\n\nYou have 500.
POISON,Attempted murder meal. Gives corrosive fireballs instead.
CRUSHED_CLAW,The hand that feeds was bit. Increases attack damage.
INJECTOR,Allows opening portals w/ a Portal Core. A sleek design.
INJECTOR_XL,Allows opening portals wide enough for your fat ass
BROKEN_CORE,Broken when opening a portal. Refracted light dances off the shards.
