key,en_us

YES,"Yes"
NO,"No"

ANTI_SOFTLOCK,"Not implemented yet. Deploying anti-softlock."


#Text present on images that'll need to be translated
IMG_KEEP_AWAY,"KEEP AWAY"
IMG_DAED,"DAED."
IMG_TITLE,"ECHO'S DAY OUT"


MENU_START,"START"
MENU_OPTIONS,"OPTIONS"
MENU_CREDITS,"CREDITS"
MENU_COPY,"Copy"
MENU_ERASE,"ERASE!!"
MENU_DEMO,"DEMO"
MENU_FILE,"File"
MENU_INVENTORY,"Inventory"
MENU_AUGMENTS,"Augments"

CREDITS_CREATED_BY,"Game Created By"
CREDITS_ENGINE,"(Using Godot 4)"
CREDITS_GRAPHICS,"Graphics"
CREDITS_ASEPRITE,"(Made w/ Aseprite)"
CREDITS_SFX,"SFX"
CREDITS_DAW,"(Made with too many things, check out LMMS)"
CREDITS_SFX_SAMPLE,"Some SFX Sampled From"
CREDITS_OSAMU_SATO,"""Deme Kume Chame-Go"" by Osamu Sato"
CREDITS_MUSIC,"Music"
CREDITS_ERIC,"All by Eric Matyas\n soundimage.org"
CREDITS_FRIENDS,"Special thanks to Nox & Laz for enabling my obese dragon game hyperfixation"
CREDITS_TRANSLATION,"Translation"
CREDITS_SPANISH,"Spanish Translation"
CREDITS_ANTI_AI,"Support human artists"
CREDITS_FUN_1,"Eat and get very fat"
CREDITS_FUN_2,"Keep watching the skiis"
CREDITS_FUN_3,"That's it ok goodbye"

OPTIONS_MASTER_VOL,"Master Vol."
OPTIONS_MUSIC_VOL,"Music Vol."
OPTIONS_SFX_VOL,"Sfx Vol."
OPTIONS_QUIT,"Quit to Menu"
OPTIONS_REALLY_QUIT,"Progress won't be saved!\nReally Quit?"

UPGRADE_FIREBALL,"Fireball"
UPGRADE_DOUBLE_JUMP,"Double Jump"
UPGRADE_SPRINT,"Sprint"
UPGRADE_CRUSH,"Crush"
UPGRADE_FIREBALL_CAPS,"FIREBALL"
UPGRADE_DOUBLE_JUMP_CAPS,"DOUBLE JUMP"
UPGRADE_SPRINT_CAPS,"SPRINT"
UPGRADE_CRUSH_CAPS,"CRUSH"
UPGRADE_SIPHON_CAPS,"SIPHON"
SMOL_UP_BONK_CAPS,"BONK"
SMOL_UP_HIGH_JUMP_CAPS,"HIGH JUMP"
SMOL_UP_SQUEEZE_CAPS,"SQUEEZE"

STATUS_WEIGHT,"Weight: \n"
STATUS_WEIGHT_THIN,"Average"
STATUS_WEIGHT_FAT,"Fat"
STATUS_WEIGHT_OBESE,"Tubby"
STATUS_WEIGHT_MOROBESE,"Obese"
STATUS_WEIGHT_BLOB,"BLOB"
STATUS_WEIGHT_SMOL,"Shrunken"

UPGRADE_DESC_SELECT,"SELECT AN ABILITY"
UPGRADE_DESC_NOT_FOUND,"UPGRADE NOT FOUND"
UPGRADE_DESC_FIREBALL,"FIREBALL\nPress X in\nmidair to fire!"
UPGRADE_DESC_DOUBLE_JUMP,"DOUBLE JUMP\nJump again in midair w/ Z!"
UPGRADE_DESC_SPRINT,"SPRINT\nHold Shift to move faster!"
UPGRADE_DESC_CRUSH,"CRUSH\nPress Down to\nslam ground!"
UPGRADE_DESC_BONK,"BONK\nPress X for midair dash!"
UPGRADE_DESC_HIGH_JUMP,"HIGH JUMP\nJump really high!"
UPGRADE_DESC_SMOL_SPRINT,"SPRINT\nStill hold Shift to run!"
UPGRADE_DESC_SQUEEZE,"SQUEEZE\nFit in small gaps!"

# Space after the column is kinda arbitrary based on how well text fits, dw about it
UPGRADE_FLAVOR_FIREBALL,"Flavor:Melted\nIce Cream"
UPGRADE_FLAVOR_DOUBLE_JUMP,"Flavor: Stupid\nMole's Gold"
UPGRADE_FLAVOR_SPRINT,"Flavor:\nSnowman Guts"
UPGRADE_FLAVOR_CRUSH,"Flavor: Honey \nand Cheese"
UPGRADE_FLAVOR_BONK,"Flavor: Concussion"
UPGRADE_FLAVOR_HIGH_JUMP,"Flavor:Fresh\nAir"
UPGRADE_FLAVOR_SMOL_SPRINT,"Flavor: Dehydration"
UPGRADE_FLAVOR_SQUEEZE,"Flavor:Haha small"

AUGMENTS_MAX_HEALTH_OFFSET,"Max Health Offset"
AUGMENTS_ENERGY_STRENGTH,"Energy Health Offset"
AUGMENTS_FIREBALL_HEAL,"Heal From Fireball"
AUGMENTS_HEALTH_DRAIN,"Health Drain"
AUGMENTS_ENEMIES_SPICY,"Extra Enemies (Spicy)"
AUGMENTS_ENEMIES_SWEET,"Extra Enemies (Sweet)"
AUGMENTS_ENEMIES_SAVORY,"Extra Enemies (Savory)"
AUGMENTS_BECOME_SMOL,"Become Smol"
AUGMENTS_DEBUG,"Debug Powers"

SILLY_MENU_ERASE,"ERASE HER ??"
SILLY_MENU_CANT_COPY,"No profiles to copy to !!\nCan't copy that floppy !!"
SILLY_MENU_GO_BACK,"Go Back"


SAVE_POINT,"SAVED!"

REGION_NAME_MT_ECHO,"Mt. Echo"
REGION_NAME_HEFTWIND_HILLS,"Heftwind Hills"
REGION_NAME_CHARRED_CAVERN,"Charred Cavern"
REGION_NAME_SPOREWAYS,"The Sporeways"
REGION_NAME_VERDANT_CAVERN,"Verdant Cavern"
REGION_NAME_PYRITE_PLUNGE,"Pyrite Plunge"
REGION_NAME_DISPHOTIC_DEPTHS,"Disphotic Depths"
REGION_NAME_TREETOP_EXPANSE,"Treetop Expanse"
REGION_NAME_THIEVES_ROAD,"Thieves' Road"
REGION_NAME_BILLOWING_HEIGHTS,"Billowing Heights"
REGION_NAME_GREYMARKET,"Greymarket"
REGION_NAME_CRATER,"The Crater"
REGION_NAME_BRAMBLE,"The Bramble"
REGION_NAME_HOME,"Home"

REGION_TAG_MT_ECHO,"MT\nECHO"
REGION_TAG_HEFTWIND_HILLS,"HEFTWIND\nHILLS"
REGION_TAG_CHARRED_CAVERN,"CHARRED\nCAVERN"
REGION_TAG_SPOREWAYS,"THE\nSPOREWAYS"
REGION_TAG_VERDANT_CAVERN,"VERDANT\nCAVERN"
REGION_TAG_PYRITE_PLUNGE,"PYRITE\nPLUNGE"
REGION_TAG_DISPHOTIC_DEPTHS,"DISPHOTIC\nDEPTHS"
REGION_TAG_TREETOP_EXPANSE,"TREETOP\nEXPANSE"
REGION_TAG_THIEVES_ROAD,"THIEVES\nROAD"
REGION_TAG_BILLOWING_HEIGHTS,"BILLOWING\nHEIGHTS"
REGION_TAG_GREYMARKET,"GREYMARKET"
REGION_TAG_CRATER,"THE\nCRATER"
REGION_TAG_BRAMBLE,"THE\nBRAMBLE"
REGION_TAG_HOME,"HOME"


# Old Text Engine 
TUTORIAL_1,"Woe, if the horrid beaste ever do wake! Her size and power are unmatched!"
TUTORIAL_2,"Rumor says, she can jump with Z!!"
TUTORIAL_3,"Hark, the terrible beaste will be stopped here!"
TUTORIAL_4,"Unless she learns to attack with X, these scare-drakes will subdue her!!"
TUTORIAL_5,"Alas, not even a poor sense of direction can stop a beaste so foul!"
TUTORIAL_6,"By pressing Esc, she has a map! She can go anywhere!!"

CHARRED_CAVERN_CRIT_TUTORIAL,"In the dance of combat\nHear the bell's ring\nFeel rhythm in your claws\nAnd you will dance faster"

FOOD_GET,"Got some Food! Perhaps someone will want to eat it?"
HEALTH_UP_GET,"Got Draconic Energy! It desparately wishes to rejoin you... +3 Max HP!"
INJECTOR_GET,"You got the Portal\nInjector! If you get a Core, you can open portals!"
INJECTOR_XL_GET,"You got the Portal\nInjector XL! It feels several times heavier than before..."
JOURNAL_GET,"Found a journal! The corner has been lightly chewed on..."
MYCELIUM_MAP_GET,"You got a Mycelium\nMap!\n\nYou see it all.\nYou FEEL it all."
PORTAL_CORE_GET,"Got a Portal Core! It's indescribable...\nMaybe you should find a portal?"
SWORD_BLADE_GET,"You got the Sword\nof Legend's Blade!\nYour attacks will deal 50% more damage!"
SWORD_HILT_GET,"You got the Sword\nof Legend's Hilt! Your attacks will reach further than\never before!"

FIREBALL_GET,"You unlocked the Fireball! Press the Attack button in midair to fire!"
DOUBLE_JUMP_GET,"You unlocked the Double Jump! You can now jump in midair, even without a flower!"


AFFAMAE_INTRO_1,"I sense a great energy from you! You must be the ""monster"" I've heard of, Echo, yes?"
AFFAMAE_INTRO_2,"It's nice to find another great beast. Though, your size is... less than I had heard."
AFFAMAE_INTRO_3,"I've sensed strange energy around here, is that yours?"
AFFAMAE_INTRO_4,"Ah, of course!  I could help you find it... for a price."
AFFAMAE_INTRO_5,"Don't get me wrong, I'd love to help for free, but I am ~FAMISHED~."
AFFAMAE_INTRO_6,"If you help me feed, perhaps I can tell you what I sense?"
AFFAMAE_INTRO_MAX_1,"It's nice to find another great beast. Especially one of such great weight!"
AFFAMAE_INTRO_MAX_2,"I'd love to join you in tubbiness, but my weight has been... diminished."
AFFAMAE_INTRO_MAX_3,"It pains me to offer scraps in return, but perhaps you could help me feed?"

AFFAMAE_MAIN_MENU,"How goes it, fellow beast?"
AFFAMAE_OPT_ASK_FOR_HELP,"Ask For Help"
AFFAMAE_OPT_GIVE_FOOD,"Give Food"
AFFAMAE_OPT_LEAVE,"Talk later!"
AFFAMAE_LEAVE,"See you around!"

AFFAMAE_WEIGHT_1_1,"Ahahaa!!! I knew I could trust someone like you!"
AFFAMAE_WEIGHT_1_2,"Oh! I've not introduced myself, have I?"
AFFAMAE_WEIGHT_1_3,"My name is Affamae. I'm a traveller, of sorts."
AFFAMAE_WEIGHT_1_4,"Back home, I'm well-known for my appetite. Perhaps... too well known."
AFFAMAE_WEIGHT_1_5,"I've been looking for a better place to settle down, and this seems to fit nicely."
AFFAMAE_WEIGHT_1_6,"The air is warm, the creatures are rotund, the food is delicious..."
AFFAMAE_WEIGHT_1_7,"Speaking of, you wouldn't happen to have any more food for me, would you~?"

AFFAMAE_WEIGHT_2_1,"More food! You truly are a miracle worker, Echo."
AFFAMAE_WEIGHT_2_2,"My, another great meal! Thank you, fellow beast! I'm glad I never ate you."
AFFAMAE_WEIGHT_2_3,"What?! I AM a monster, after all! Besides, I decided against it!"
AFFAMAE_WEIGHT_2_4,"I do know your nature. A dragon made of pure energy."
AFFAMAE_WEIGHT_2_5,"Each pound of blubber for you is a million Calories for me, at least~."
AFFAMAE_WEIGHT_2_6,"If I had eaten you, I'd hit ten tons minimum~. Maybe more...~~ Completely immobile...~~"
AFFAMAE_WEIGHT_2_7,"...It'd surely break this cliff & send me falling to my doom. Hence why I didn't."
AFFAMAE_WEIGHT_2_8,"Besides, I'd never hurt a ~friend~! That preppy journalist, perhaps, but not you!"

AFFAMAE_WEIGHT_3_1,"My, you sure know how to keep a beast well-fed!"
AFFAMAE_WEIGHT_3_2,"Mhm... If I may, I'd like to clarify something."
AFFAMAE_WEIGHT_3_3,"Much like you, my sensory powers are... weight-related."
AFFAMAE_WEIGHT_3_4,"At my largest, I could pinpoint an energy signature 1000 miles away! Now, not quite."
AFFAMAE_WEIGHT_3_5,"That's only my simplest power, as well. They used to call me the Blob of Terror back home."
AFFAMAE_WEIGHT_3_6,"Who knows? Maybe I'll get fat enough to teleport again! It's only about a half-ton away."
AFFAMAE_WEIGHT_3_7,"...It certainly seems to be getting closer and closer.~"
AFFAMAE_WEIGHT_3_8,"Jokes aside, this food has been helping me feel more like myself. Thank you, Echo."

AFFAMAE_WEIGHT_4_1,"Another meal? Your generosity knows no bounds!"
AFFAMAE_WEIGHT_4_2,"Thank you for the meal! ...Though I do have a question."
AFFAMAE_WEIGHT_4_3,"You are clearly great at keeping yourself fed. Yet I sense you've been bringing me all your food."
AFFAMAE_WEIGHT_4_4,"Is there a reason you've not taken any for yourself?"
AFFAMAE_EAT_OPT_NO_TASTE,"I have no sense of taste"
AFFAMAE_EAT_OPT_FEEDER,"Get you as fat as I can~"
AFFAMAE_NO_TASTE_1,"Wait, really? Tasting was one of your stolen powers? Or something even worse??"
AFFAMAE_NO_TASTE_2,"I'm so sorry to hear that. I can hardly think of a fate so terrible."
