keys,en_us

YES,"Yes"
NO,"No"

TUTORIAL_1,"Woe, if the horrid beaste ever do wake! Her size and power are unmatched!"
TUTORIAL_2,"Rumor says, she can jump with Z!!"
TUTORIAL_3,"Hark, the terrible beaste will be stopped here! "
TUTORIAL_4,"Unless she learns to attack with X, these scare-drakes will subdue her!!"
TUTORIAL_5,"Alas, not even a poor sense of direction can stop a beaste so foul!"
TUTORIAL_6,"By pressing Esc, she has a map! She can go anywhere!!"

CHARRED_CAVERN_CRIT_TUTORIAL,"In the dance of combat\nHear the bell's ring\nFeel rhythm in your claws\nAnd you will dance faster"


AFFAMAE_INTRO_1,"I sense a great energy from you! You must be the \"monster\" I've heard of, Echo, yes?"
AFFAMAE_INTRO_2,"It's nice to find another great beast. Though, your size is... less than I had heard."
AFFAMAE_INTRO_3,"I've sensed strange energy around here, is that yours?"
AFFAMAE_INTRO_4,"Ah, of course!  I could help you find it... for a price."
AFFAMAE_INTRO_5,"Don't get me wrong, I'd love to help for free, but I am ~FAMISHED~."
AFFAMAE_INTRO_6,"If you help me feed, perhaps I can tell you what I sense?"
AFFAMAE_INTRO_MAX_1,"It's nice to find another great beast. Especially one of such great weight!"
AFFAMAE_INTRO_MAX_2,"I'd love to join you in tubbiness, but my weight has been... diminished."
AFFAMAE_INTRO_MAX_3,"It pains me to offer scraps in return, but perhaps you could help me feed?"

AFFAMAE_MAIN_MENU,"How goes it, fellow beast?"
AFFAMAE_OPT_ASK_FOR_HELP,"Ask For Help"
AFFAMAE_OPT_GIVE_FOOD,"Give Food"
AFFAMAE_OPT_LEAVE,"Talk later!"
AFFAMAE_LEAVE,"See you around!"

AFFAMAE_WEIGHT_1_1,"Ahahaa!!! I knew I could trust someone like you!"
AFFAMAE_WEIGHT_1_2,"Oh! I've not introduced myself, have I?"
AFFAMAE_WEIGHT_1_3,"My name is Affamae. I'm a traveller, of sorts."
AFFAMAE_WEIGHT_1_4,"Back home, I'm well-known for my appetite. Perhaps... too well known."
AFFAMAE_WEIGHT_1_5,"I've been looking for a better place to settle down, and this seems to fit nicely."
AFFAMAE_WEIGHT_1_6,"The air is warm, the creatures are rotund, the food is delicious..."
AFFAMAE_WEIGHT_1_7,"Speaking of, you wouldn't happen to have any more food for me, would you~?"

AFFAMAE_WEIGHT_2_1,"More food! You truly are a miracle worker, Echo."
AFFAMAE_WEIGHT_2_2,"My, another great meal! Thank you, fellow beast! I'm glad I never ate you."
AFFAMAE_WEIGHT_2_3,"What?! I AM a monster, after all! Besides, I decided against it!"
AFFAMAE_WEIGHT_2_4,"I do know your nature. A dragon made of pure energy."
AFFAMAE_WEIGHT_2_5,"Each pound of blubber for you is a million Calories for me, at least~."
AFFAMAE_WEIGHT_2_6,"If I had eaten you, I'd hit ten tons minimum~. Maybe more...~~ Completely immobile...~~"
AFFAMAE_WEIGHT_2_7,"...It'd surely break this cliff & send me falling to my doom. Hence why I didn't."
AFFAMAE_WEIGHT_2_8,"Besides, I'd never hurt a ~friend~! That preppy journalist, perhaps, but not you!"

AFFAMAE_WEIGHT_3_1,"My, you sure know how to keep a beast well-fed!"
AFFAMAE_WEIGHT_3_2,"Mhm... If I may, I'd like to clarify something."
AFFAMAE_WEIGHT_3_3,"Much like you, my sensory powers are... weight-related."
AFFAMAE_WEIGHT_3_4,"At my largest, I could pinpoint an energy signature 1000 miles away! Now, not quite."
AFFAMAE_WEIGHT_3_5,"That's only my simplest power, as well. They used to call me the Blob of Terror back home."
AFFAMAE_WEIGHT_3_6,"Who knows? Maybe I'll get fat enough to teleport again! It's only about a half-ton away."
AFFAMAE_WEIGHT_3_7,"...It certainly seems to be getting closer and closer.~"
AFFAMAE_WEIGHT_3_8,"Jokes aside, this food has been helping me feel more like myself. Thank you, Echo."

AFFAMAE_WEIGHT_4_1,"Another meal? Your generosity knows no bounds!"
AFFAMAE_WEIGHT_4_2,"Thank you for the meal! ...Though I do have a question."
AFFAMAE_WEIGHT_4_3,"You are clearly great at keeping yourself fed. Yet I sense you've been bringing me all your food."
AFFAMAE_WEIGHT_4_4,"Is there a reason you've not taken any for yourself?"
AFFAMAE_EAT_OPT_NO_TASTE,"I have no sense of taste"
AFFAMAE_EAT_OPT_FEEDER,"Get you as fat as I can~"
AFFAMAE_NO_TASTE_1,"Wait, really? Tasting was one of your stolen powers? Or something even worse??"
AFFAMAE_NO_TASTE_2,"I'm so sorry to hear that. I can hardly think of a fate so terrible."
AFFAMAE_NO_TASTE_3,"...Even so, you should eat. I can't have you slimming down on me."
AFFAMAE_FEEDER_1,"Wh-huh~??"
AFFAMAE_FEEDER_2,"I mean, I appreciate the thoughts, truly~!"
AFFAMAE_FEEDER_3,"However, I've always been one for mutual fattening~"
AFFAMAE_WEIGHT_4_5,"Here, take some. We can share."
AFFAMAE_WEIGHT_4_6,"Mhm, it tastes better eating with a friend~"
AFFAMAE_WEIGHT_4_7,"If you do happen across any more, let me know. I'd love to share it with you."
AFFAMAE_WEIGHT_5_1,"You're taking some too, right?"
AFFAMAE_WEIGHT_5_2,"...Hrm. There's something that's been stuck in my mind."
AFFAMAE_WEIGHT_5_3,"You've brought me so much food. And with that, I've been able to locate your powers."
AFFAMAE_WEIGHT_5_4,"However, on the very edge of my senses, I swear I feel even more."
AFFAMAE_WEIGHT_5_5,"Guess I need to keep eating until I can locate it proper, huh?"
AFFAMAE_WEIGHT_5_6,"Hm... it's large. Leagues greater than what the others took."
AFFAMAE_WEIGHT_5_7,"It's almost as if they're trying to hide it from me..."
AFFAMAE_WEIGHT_5_8,"They must really want to keep it, huh?"

AFFAMAE_HINT_EDGAR_1,"Now that you've helped me eat, it's only fair I help you!"
AFFAMAE_HINT_EDGAR_2,"The first shard of your energy is close... yet far. Due east of here, in that burning cavern."
AFFAMAE_HINT_EDGAR_3,"You'll need to enter from below to reach the thief, but he should pose little threat."
AFFAMAE_HINT_EDGAR_4,"Let me mark his lair on the map."
AFFAMAE_HINT_EDGAR_5,"I wish you luck, Echo! May you get to feast as well!"
AFFAMAE_HINT_SONIA_1,"Your next shard of energy is underground. Also not far."
AFFAMAE_HINT_SONIA_2,"However, the mole with your power seems to have dug a labrynth."
AFFAMAE_HINT_SONIA_3,"You might need to dig down to dig back up, my friend... Good luck."
AFFAMAE_HINT_SONIA_4,"Let me mark her lair on the map."
AFFAMAE_HINT_SONIA_5,"Return to me stronger and softer, fellow beast!"
AFFAMAE_HINT_NIMBUS_1,"This time, your thief has climbed up. Above your very own cave, in fact! How rude!"
AFFAMAE_HINT_NIMBUS_2,"They appear to be a goat. No wonder they could climb at that size..."
AFFAMAE_HINT_NIMBUS_3,"Your own weight may make the ascent dangerous. Tread carefully."
AFFAMAE_HINT_NIMBUS_4,"Let me mark their lair on the map."
AFFAMAE_HINT_NIMBUS_5,"Stay safe! Don't topple the forest with your weight!"
AFFAMAE_HINT_CHARLE_1,"Your next shard is down. Deep, deep, deep, deep down..."
AFFAMAE_HINT_CHARLE_2,"Good hell, how deep did they go?! Either your power is that good, or they are that heavy..."
AFFAMAE_HINT_CHARLE_3,"...They aren't alone. This place makes my fur stand on end. It seems... wrong."
AFFAMAE_HINT_CHARLE_4,"I guess... let me mark their lair on the map."
AFFAMAE_HINT_CHARLE_5,"Don't die down there, Echo. The world needs blobs like us."
AFFAMAE_NO_HINT_1,"I appreciate the meal, but I've no more help to give."
AFFAMAE_NO_HINT_2,"Perhaps we can just... chat? One fat beast to another?"


EDGAR_TITLE,"EDGAR\nThe Mongoose Monarch"
EDGAR_PRE_FIGHT_1,"Temperature up 8 degrees, magma production is booming, ice cream 20% tastier..."
EDGAR_PRE_FIGHT_2,"That old magpie was right, this Draconic Energy has made me the greatest king ever!"
EDGAR_PRE_FIGHT_3,"I'm so much better at this than Ch-"
EDGAR_PRE_FIGHT_4,"OH MY GOD YOUR REAL??"


KARA_INTRO_1,"Oh, uh...\n\nHi...
KARA_INTRO_2,"My name's Kara...\n\nI'm not supposed to be here..."
KARA_INTRO_3,"Uh...\n\nYou know about Portals?"
KARA_INTRO_4,"They're hard to get working. you need a Portal Core, and also an Injector for it."
KARA_INTRO_5,"Here, you can have mine. I'm not going anywhere soon."
KARA_INTRO_6,"There's a Portal and a Core down beneath us, if you want to try it out."
KARA_INTRO_7,"I, uh, hope you enjoy..."

KARA_RANDOM_1_1,"I hope it's okay if I stay in your world a bit. I like it here."
KARA_RANDOM_1_2,"The cold wind from the trees with the hot air of the caves..."
KARA_RANDOM_1_3,"It beats the snowy woods I grew up in, that's for sure."
KARA_RANDOM_2_1,"I didn't think this world would be so big."
KARA_RANDOM_2_2,"I don't mean fat, I knew it would be very fat, just..."
KARA_RANDOM_2_3,"I was expecting a short diversion, but this wound up being so much more."
KARA_RANDOM_2_4,"I can't say i'm upset. I'm enjoying myself."
KARA_RANDOM_3_1,"Do you like these flowers? I brought them with me here."
KARA_RANDOM_3_2,"They're a kind of nightshade. I call them \"Toxen Flowers.\""
KARA_RANDOM_3_3,"They can be deadly, but if nurtured well, they can be truly beautiful."
KARA_RANDOM_3_4,"Maybe someday I can show you more of them."
KARA_RANDOM_4_1,"Have i been repeating myself? If so, I'm sorry."
KARA_RANDOM_4_1,"I tend to forget who I've discussed what with, and I only have so much to say..."

KARA_RESIZE_1,"What's that? You can't fit in the portals anymore?"
KARA_RESIZE_2,"I sized them to the biggest guy I knew, but it looks like you need them bigger..."
KARA_RESIZE_3,"Here, let me see your Injector real quick."
KARA_RESIZE_4,"With this, all portals should now fit you through."
KARA_RESIZE_5,"Just, don't grow too much more, if you can help it..."
KARA_RESIZE_6,"(Holy shit she got FAT)"

KARA_PLUME_HINT_1,"Y'know, I saw someone I thought was you earlier today."
KARA_PLUME_HINT_2,"She was somehow even fatter, which... how?"
KARA_PLUME_HINT_3,"She looked happy, but also scared of getting caught. Caught with what, I don't know."
KARA_PLUME_HINT_4,"She flew up the mountain. Which didn't seem physically possible..."
KARA_PLUME_HINT_5,"She might be a fan. Maybe you should check her out?"


KARA_COMIC_CER_1,"You flip to a comic. Two doglike creatures slowly gain weight after moving to separate places."
KARA_COMIC_CER_2,"One of them seems to be leaning into it, while the other seems to be in denial."
KARA_COMIC_TOXEN_1,"You find a bunch of sketches of a fat purple creature in various poses."
KARA_COMIC_TOXEN_2,"Surrounding the sketches are pictures of flowers and monsters."
KARA_COMIC_ECHO_1,"You flip to a sketch of... Echo? The sketch shows her at a variety of sizes."
KARA_COMIC_ECHO_2,"You decide to stop looking."
KARA_COMIC,"It's a sketch book. Take a peek?"

PORTAL_UNKNOWN,"A wisp of air moves erratically..."
PORTAL_NO_INJECTOR_1,"A wisp of air moves erratically."
PORTAL_NO_INJECTOR_2,"The Portal Core seems drawn to it, but it can't fit in the gap..."
PORTAL_INTRO,"A wisp of air moves erratically. A Portal is present."
PORTAL_NO_CORE,"If you find a Portal Core, you can slip inside."
PORTAL_INJECT_CORE,"Do you want to inject a Portal Core?"
PORTAL_OPEN,"The Portal sprang open!"
PORTAL_STAY_HERE,"You decided to stay here."
PORTAL_TOO_FAT_1,"You tried to squeeze into the portal... but you're too fat!"
PORTAL_TOO_FAT_2,"Maybe Kara can help widen the portals...?"
PORTAL_POST_OPEN,"It's a Portal.\n\nWhere will you go?"
PORTAL_OPT_STAY_HERE,"Stay Here"


SONIA_TITLE,"SONIA\nChief Excavation Officer"
SONIA_TAUNT_EARLY,"Well, someone's a bit early~`"
SONIA_TAUNT_NORMAL,"Figures you'd get Edgar first~`"
SONIA_TAUNT_LATE,"...Well SOMEONE took their sweet time~`"
SONIA_TAUNT_2,"I take it introductions aren't necessary. Let's talk, one ~LEGEND~ to another."
SONIA_TAUNT_3,"Do I have your powers? Yes. 
SONIA_TAUNT_4,"What's that look for??
SONIA_TAUNT_5,"I know you might be mad at me for that. Your feedback has been recieved."
SONIA_TAUNT_6,"But have you considered, maybe you just weren't good enough to have them?"
